[START]
(40, 14)
(41, 14)
(43, 14)
(47, 13)
(48, 13)
(51, 13)
(54, 12)
(55, 12)
(56, 12)
(58, 12)
(59, 12)
(61, 12)
(62, 12)
(64, 12)
(65, 12)
(67, 12)
(69, 12)
(70, 12)
(71, 12)
(72, 12)
(73, 12)
[END]
[START]
(57, 17)
(57, 18)
(57, 20)
(57, 21)
(57, 23)
(57, 26)
(57, 27)
(57, 28)
(57, 30)
(57, 32)
(57, 34)
(57, 35)
(57, 36)
(56, 38)
(56, 39)
(55, 41)
(54, 41)
(53, 41)
(52, 41)
(51, 41)
(50, 41)
(49, 41)
(48, 41)
(47, 41)
(46, 40)
(44, 40)
(43, 39)
(42, 39)
(42, 38)
(41, 37)
(40, 35)
(39, 34)
(38, 33)
(37, 32)
[END]
