[START]
(36, 17)
(36, 18)
(36, 20)
(36, 22)
(36, 24)
(36, 26)
(36, 28)
(36, 29)
(36, 30)
(37, 32)
(38, 34)
(38, 36)
(38, 37)
(39, 38)
(40, 39)
(40, 41)
(41, 43)
(42, 44)
(43, 44)
(43, 45)
(44, 46)
(45, 47)
(46, 48)
(47, 48)
(49, 49)
(50, 49)
(52, 49)
(54, 50)
(56, 50)
(57, 50)
(58, 50)
(59, 50)
(60, 50)
(61, 50)
(62, 49)
(63, 49)
(65, 49)
(67, 48)
(68, 47)
(70, 45)
(72, 43)
(73, 41)
(76, 40)
(77, 39)
(79, 38)
(79, 36)
(81, 35)
(81, 34)
(82, 33)
(82, 32)
(83, 31)
(84, 30)
(84, 28)
(85, 27)
(86, 26)
(86, 25)
(87, 23)
(88, 22)
(88, 21)
(88, 20)
(89, 19)
(89, 18)
(89, 17)
(89, 16)
[END]
