[START]
(60, 29)
(59, 29)
(57, 28)
(56, 28)
(55, 27)
(54, 26)
(53, 25)
(52, 24)
(51, 23)
(51, 22)
(51, 21)
(51, 20)
(51, 19)
(51, 17)
(52, 16)
(53, 15)
(54, 15)
(56, 14)
(59, 13)
(60, 13)
(61, 13)
(63, 13)
(64, 13)
(65, 13)
(66, 13)
(67, 13)
(68, 14)
(69, 14)
(69, 15)
(70, 17)
(70, 18)
(70, 21)
(70, 23)
(70, 25)
(69, 28)
(69, 29)
(68, 30)
(68, 31)
(67, 32)
(65, 34)
(64, 34)
(63, 35)
(62, 36)
(61, 36)
(59, 37)
(58, 38)
(57, 38)
(55, 39)
(55, 40)
(54, 41)
(54, 42)
(54, 43)
(54, 44)
(54, 46)
(55, 47)
(57, 48)
(58, 49)
(59, 49)
(60, 49)
(62, 50)
(64, 51)
(65, 51)
(66, 51)
(67, 51)
(68, 51)
(69, 51)
(70, 51)
(71, 51)
(72, 51)
(73, 51)
(74, 50)
(74, 48)
(73, 46)
(73, 44)
(73, 43)
(73, 41)
(72, 39)
(72, 37)
(71, 36)
(71, 35)
(70, 34)
(69, 34)
(69, 33)
(68, 32)
(67, 32)
(66, 31)
(66, 30)
(65, 30)
(64, 30)
(62, 29)
(61, 29)
(60, 29)
(58, 28)
(58, 27)
(57, 26)
(58, 25)
[END]
