[START]
(37, 11)
(39, 14)
(41, 16)
(42, 18)
(44, 19)
(45, 21)
(47, 22)
(48, 24)
(49, 25)
(50, 27)
(51, 28)
(52, 29)
(53, 30)
(54, 31)
(55, 31)
(55, 32)
(56, 32)
[END]
[START]
(77, 13)
(77, 15)
(75, 17)
(75, 18)
(73, 21)
(72, 22)
(72, 23)
(71, 24)
(70, 25)
(70, 26)
(69, 27)
(69, 28)
(68, 29)
(67, 30)
(67, 31)
(66, 31)
(66, 32)
(66, 33)
(65, 34)
(64, 34)
(63, 34)
(63, 35)
(62, 35)
(61, 35)
(60, 35)
(60, 36)
(59, 36)
[END]
[START]
(58, 38)
(58, 40)
(59, 43)
(60, 45)
(60, 46)
(61, 47)
(62, 50)
(62, 51)
(62, 52)
(62, 54)
(62, 55)
(62, 57)
(63, 58)
(64, 59)
[END]
