[START]
(46, 16)
(46, 17)
(46, 19)
(46, 21)
(45, 23)
(45, 24)
(45, 25)
(44, 27)
(44, 28)
(44, 29)
(43, 30)
(44, 31)
(45, 31)
(46, 31)
(47, 31)
(49, 31)
(54, 31)
(55, 32)
(56, 32)
(59, 33)
(60, 33)
(62, 34)
(62, 35)
(64, 35)
(64, 37)
(64, 38)
(64, 40)
(64, 41)
(64, 42)
(64, 43)
(64, 44)
(63, 45)
(62, 47)
(61, 47)
(60, 48)
(58, 49)
(57, 50)
(56, 51)
(55, 51)
(54, 51)
(53, 51)
(52, 51)
(51, 51)
(50, 51)
(49, 51)
(48, 51)
(46, 50)
(46, 49)
(45, 48)
(44, 47)
[END]
[START]
(46, 16)
(47, 16)
(47, 15)
(48, 15)
(50, 14)
(53, 14)
(55, 14)
(58, 14)
(60, 14)
(63, 14)
(66, 14)
(68, 14)
(70, 14)
(72, 14)
(73, 14)
(75, 14)
(77, 14)
(77, 13)
[END]
