[START]
(44, 18)
(44, 20)
(44, 22)
(44, 24)
(44, 26)
(43, 29)
(43, 31)
(42, 34)
(42, 36)
(41, 38)
(41, 40)
(41, 41)
(40, 43)
(40, 44)
(40, 45)
(40, 46)
(40, 47)
(40, 48)
[END]
[START]
(44, 15)
(45, 15)
(47, 14)
(49, 13)
(50, 13)
(52, 13)
(54, 13)
(56, 13)
(58, 13)
(61, 14)
(64, 15)
(66, 16)
(68, 16)
(70, 17)
(70, 18)
(71, 18)
(72, 19)
(73, 20)
(73, 21)
(73, 22)
(73, 23)
(73, 24)
(73, 25)
(73, 27)
(72, 28)
(70, 29)
(70, 30)
(68, 30)
(67, 31)
(66, 31)
(65, 31)
(63, 32)
(61, 32)
(60, 32)
(59, 32)
(58, 32)
(57, 32)
(56, 32)
(55, 32)
(54, 32)
(51, 31)
(50, 30)
(48, 30)
(47, 30)
(46, 30)
(45, 30)
(44, 30)
[END]
