[START]
(45, 18)
(45, 19)
(45, 21)
(44, 24)
(44, 27)
(43, 30)
(42, 32)
(41, 35)
(41, 38)
(41, 41)
(41, 43)
(40, 46)
(39, 48)
(38, 49)
(38, 50)
(38, 51)
(38, 52)
(38, 53)
[END]
[START]
(50, 15)
(53, 16)
(54, 16)
(55, 16)
(56, 17)
(57, 18)
(58, 20)
(59, 22)
(59, 23)
(59, 24)
(59, 25)
(59, 26)
(59, 27)
(58, 27)
(58, 28)
(57, 29)
(56, 29)
(55, 29)
(55, 30)
(54, 30)
(53, 31)
(52, 32)
(50, 32)
(49, 33)
(48, 33)
(47, 33)
[END]
[START]
(47, 35)
(51, 36)
(53, 38)
(56, 39)
(58, 41)
(60, 42)
(63, 44)
(64, 45)
(65, 45)
[END]
