[START]
(61, 19)
(60, 19)
(59, 19)
(58, 19)
(57, 19)
(56, 19)
(55, 19)
(54, 19)
(53, 20)
(52, 20)
(51, 20)
(50, 21)
(49, 22)
(47, 22)
(46, 24)
(45, 24)
(44, 25)
(43, 25)
(42, 26)
(41, 26)
(41, 27)
(40, 27)
(40, 28)
(39, 29)
(38, 30)
(38, 31)
(38, 32)
(38, 33)
(38, 34)
(38, 36)
(38, 37)
(38, 38)
(38, 39)
(38, 40)
(39, 42)
(41, 44)
(42, 45)
(43, 46)
(44, 47)
(45, 48)
(47, 49)
(48, 50)
(50, 50)
(51, 51)
(52, 51)
(53, 51)
(54, 51)
(55, 51)
(56, 51)
(57, 51)
(58, 51)
(59, 51)
(61, 50)
(61, 49)
(62, 48)
(62, 46)
(63, 45)
(64, 44)
(64, 43)
(64, 42)
(64, 41)
(64, 40)
(64, 39)
[END]
[START]
(54, 36)
(55, 36)
(56, 36)
(57, 37)
(58, 37)
(59, 37)
(61, 38)
(63, 38)
(64, 38)
(65, 38)
(66, 38)
(66, 39)
(67, 39)
(69, 40)
(70, 40)
(70, 41)
(70, 43)
(70, 45)
(70, 46)
(70, 47)
(70, 49)
(70, 50)
(69, 52)
(68, 53)
(68, 54)
(68, 55)
[END]
