[START]
(73, 14)
(71, 13)
(70, 13)
(68, 13)
(66, 13)
(61, 12)
(59, 11)
(58, 11)
(57, 11)
(55, 11)
(54, 11)
(53, 11)
(52, 11)
(51, 11)
(49, 12)
(48, 12)
(47, 12)
(46, 13)
(45, 14)
(44, 16)
(44, 17)
(44, 19)
(43, 20)
(43, 21)
(43, 22)
(43, 23)
(43, 24)
(44, 26)
(46, 28)
(47, 29)
(48, 29)
(49, 29)
(51, 30)
(53, 30)
(55, 30)
(58, 31)
(60, 31)
(62, 32)
(64, 33)
(65, 33)
(65, 34)
(65, 35)
(65, 36)
(65, 37)
(65, 38)
(65, 39)
(64, 40)
(64, 41)
(63, 41)
(62, 42)
(61, 44)
(59, 44)
(58, 46)
(56, 46)
(55, 47)
(53, 48)
(52, 48)
(51, 48)
(50, 48)
(49, 48)
(48, 48)
(47, 48)
(45, 48)
(44, 48)
(43, 48)
(41, 47)
(40, 47)
(39, 47)
(38, 46)
(39, 46)
(39, 45)
[END]
