[START]
(40, 12)
(40, 14)
(40, 16)
(40, 18)
(40, 20)
(40, 23)
(40, 25)
(40, 27)
(40, 30)
(41, 35)
(41, 37)
(41, 39)
(41, 41)
(41, 43)
(41, 44)
(42, 46)
(43, 46)
(43, 47)
[END]
[START]
(40, 17)
(41, 17)
(42, 17)
(44, 17)
(46, 17)
(47, 17)
(49, 17)
(51, 17)
(53, 17)
(55, 17)
(57, 17)
(58, 17)
(59, 17)
(60, 17)
(62, 17)
(63, 17)
(64, 17)
(65, 17)
(66, 17)
[END]
[START]
(43, 33)
(45, 34)
(47, 35)
(48, 35)
(51, 35)
(53, 35)
(55, 35)
(58, 36)
(60, 37)
(61, 37)
(62, 37)
(63, 37)
[END]
[START]
(36, 50)
(38, 50)
(39, 51)
(40, 52)
(41, 52)
(44, 52)
(45, 53)
(47, 54)
(48, 54)
(49, 54)
(50, 54)
(51, 54)
(52, 54)
(54, 54)
(55, 54)
(56, 54)
(57, 54)
[END]
