[START]
(28, 23)
(28, 25)
(28, 26)
(28, 27)
(28, 28)
(28, 30)
(28, 32)
(28, 34)
(28, 36)
(28, 38)
(28, 40)
(28, 41)
(28, 42)
(28, 43)
(29, 44)
(31, 43)
(32, 43)
(35, 41)
(37, 39)
(39, 37)
(42, 35)
(46, 32)
(48, 30)
(51, 28)
(52, 25)
(54, 23)
(55, 21)
(57, 19)
(57, 17)
(58, 16)
(58, 15)
(59, 16)
(59, 17)
(60, 19)
(61, 23)
(63, 26)
(64, 29)
(65, 31)
(65, 33)
(66, 35)
(67, 36)
(67, 37)
(68, 38)
(69, 38)
(71, 37)
(72, 36)
(73, 32)
(75, 30)
(76, 27)
(78, 25)
(79, 23)
(80, 20)
(81, 19)
(82, 18)
(83, 17)
(83, 16)
(84, 14)
(85, 14)
(85, 13)
(86, 12)
(87, 11)
(87, 9)
(88, 7)
[END]
