[START]
(57, 12)
(56, 14)
(55, 16)
(53, 18)
(51, 21)
(50, 23)
(48, 26)
(47, 28)
(45, 31)
(43, 34)
(42, 36)
(40, 38)
(39, 41)
(38, 42)
(37, 44)
(36, 46)
(35, 47)
(34, 48)
(33, 50)
(32, 50)
(31, 51)
(31, 52)
(30, 53)
[END]
[START]
(58, 16)
(59, 17)
(60, 18)
(62, 20)
(63, 23)
(65, 24)
(67, 26)
(69, 29)
(70, 32)
(72, 35)
(74, 37)
(76, 40)
(77, 42)
(79, 44)
(80, 46)
(81, 48)
(83, 50)
(84, 51)
(85, 52)
(86, 53)
[END]
[START]
(45, 33)
(46, 33)
(48, 33)
(51, 34)
(53, 35)
(54, 35)
(56, 35)
(58, 35)
(60, 35)
(63, 35)
(65, 35)
(67, 35)
(69, 35)
(70, 35)
(72, 35)
(73, 35)
(74, 35)
[END]
