[START]
(41, 16)
(41, 17)
(41, 18)
(41, 20)
(41, 21)
(41, 23)
(41, 25)
(41, 26)
(41, 29)
(41, 31)
(41, 32)
(41, 33)
(41, 34)
(41, 36)
(41, 37)
(41, 38)
(41, 40)
(41, 41)
(41, 43)
(41, 44)
(41, 45)
(41, 46)
(41, 47)
(41, 48)
(41, 50)
(41, 51)
[END]
[START]
(45, 12)
(46, 12)
(47, 12)
(48, 12)
(50, 12)
(53, 12)
(55, 12)
(57, 12)
(60, 13)
(61, 13)
(64, 14)
(66, 14)
(67, 15)
(68, 16)
(69, 16)
(69, 17)
(71, 18)
(72, 19)
(73, 20)
(74, 22)
(74, 23)
(74, 24)
(74, 25)
(73, 28)
(72, 29)
(71, 31)
(70, 33)
(69, 35)
(68, 36)
(67, 38)
(66, 38)
(65, 40)
(64, 40)
(62, 41)
(60, 42)
(58, 42)
(57, 43)
(56, 43)
(54, 44)
(53, 44)
(51, 45)
(50, 45)
(49, 45)
(47, 46)
(46, 46)
(44, 46)
(43, 46)
(42, 46)
(44, 44)
(47, 41)
[END]
