[START]
(45, 14)
(45, 16)
(45, 18)
(45, 21)
(45, 24)
(45, 27)
(45, 30)
(45, 33)
(45, 36)
(45, 38)
(45, 40)
(45, 41)
(45, 43)
(45, 44)
(45, 46)
(45, 47)
(45, 48)
(45, 49)
(45, 50)
[END]
[START]
(67, 16)
(66, 16)
(65, 17)
(64, 18)
(63, 19)
(62, 20)
(60, 22)
(59, 23)
(57, 25)
(56, 25)
(54, 27)
(53, 28)
(51, 28)
(51, 29)
(50, 30)
(49, 30)
(48, 30)
(47, 31)
(46, 31)
[END]
[START]
(47, 32)
(48, 33)
(49, 33)
(50, 34)
(53, 36)
(55, 37)
(57, 38)
(59, 39)
(62, 41)
(64, 42)
(66, 44)
(68, 45)
(70, 46)
(71, 47)
(72, 47)
(72, 48)
(73, 48)
(74, 49)
(75, 48)
(75, 47)
[END]
