[START]
(37, 18)
(37, 20)
(37, 23)
(37, 26)
(37, 27)
(37, 29)
(37, 31)
(36, 34)
(36, 35)
(36, 37)
(36, 40)
(36, 41)
(36, 42)
(36, 44)
(35, 45)
(35, 46)
[END]
[START]
(40, 14)
(41, 16)
(43, 17)
(45, 19)
(47, 21)
(49, 22)
(52, 24)
(54, 26)
(56, 28)
(57, 28)
(58, 29)
(59, 31)
(62, 32)
(63, 34)
(64, 35)
(65, 36)
(65, 38)
(66, 38)
(66, 39)
(67, 40)
(68, 41)
(69, 41)
(69, 43)
(69, 42)
(69, 41)
[END]
[START]
(67, 12)
(67, 15)
(68, 21)
(68, 24)
(69, 28)
(69, 31)
(70, 33)
(70, 35)
(70, 37)
(70, 39)
(70, 42)
(70, 43)
(70, 44)
(70, 45)
[END]
