[START]
(44, 22)
(46, 22)
(49, 22)
(52, 22)
(56, 22)
(60, 22)
(64, 22)
(67, 23)
(68, 23)
(71, 23)
(72, 23)
(73, 23)
(74, 23)
(76, 23)
(77, 23)
(77, 24)
(78, 24)
(79, 24)
(78, 25)
(77, 25)
(76, 26)
(74, 28)
(72, 29)
(69, 31)
(67, 31)
(65, 33)
(62, 34)
(59, 37)
(57, 38)
(55, 40)
(52, 42)
(49, 44)
(47, 46)
(45, 47)
(43, 49)
(41, 50)
(41, 51)
(40, 52)
(41, 52)
(44, 52)
(46, 52)
(49, 52)
(52, 52)
(55, 52)
(59, 52)
(62, 52)
(66, 52)
(69, 52)
(72, 52)
(74, 52)
(77, 52)
(79, 52)
(80, 52)
(81, 52)
(82, 52)
(83, 52)
(84, 52)
[END]
